,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
220,株式会社パーフェクション | 稼げる人事制度＆誰でもスキルアップ可能なマニュアル完全完備！,【営業】キャリアアップ希望＆高収入希望集まれ！！！ 正社員,正社員,【稼げる人事制度＆能力に応じた豊富なマニュアル！】法人、個人事業主のお客様に、業務効率化・コスト削減等を実現するITソリューションの提案業務！,【未経験者活躍中／学歴・経験不問！】本気で《高収入＆キャリアアップ》を目指したい方全員採用します！！！,【仙台駅から徒歩圏内♪】 宮城県仙台市青葉区本町1-12-12　GMビル6F ＼ オフィスの1階に…,"月給206,000円〜400,000円＋歩合給 ※試用期間2ヶ月(月給256,000円) ※経験・スキルを考慮して優遇しま…"
221,株式会社パーフェクション | 仕事よりもプライベート☆職場環境・福利厚生が充実した職場！,安定志向に最適！ノルマ・残業一切なし！【コールスタッフ】 正社員,正社員,【未経験者活躍中！豊富なマニュアル！綺麗な職場！安心の充実した研修＆サポート体制！】お客様のニーズをヒアリングして環境確認をするだけの業務！,★応募者全員とお会いします★【未経験歓迎／学歴・経験不問！】正社員・オフィスワークデビューも大歓迎！ほとんどが未経験からのスタートです♪,【仙台駅から徒歩圏内♪】 宮城県仙台市青葉区本町1-12-12　GMビル6F ＼ オフィスの1階に…,"月給206,000円〜400,000円＋歩合給 ※試用期間2ヶ月(月給256,000円) ※経験・スキルを考慮して優遇しま…"
222,株式会社寒河江測量設計事務所 | 《表彰実績多数！／最新機材を積極的に導入／早期キャリアUP可》,国土基盤のつくり手になれる！【建設コンサルタント】☆転勤なし 正社員,正社員,【新技術を駆使し、働き方改革へも積極的に取組】官公庁や民間企業からの依頼を受け、道路や橋梁、河川、砂防等の設計や維持管理等の業務を担います。,●RCCM、技術士等の建設関連資格をお持ちの方　●建設コンサルタント、土木分野での実務経験のある方　●普通免許　●高専・短大卒以上,【転勤なし／U・Iターン歓迎】 ●本社 山形県寒河江市大字西根字長面153番地の1 ●交通アクセス…,"月給200,000円以上 ※経験・有資格を考慮の上、当社規定により優遇します。"
223,株式会社寒河江測量設計事務所 | 《表彰実績多数！／最新機材を積極的に導入／早期キャリアUP可》,新技術でまちづくりに貢献【UAVオペレーター・測量】☆転勤なし 正社員,正社員,【最新の技術で地形を“見る”測量スタッフ】官公庁や民間企業からの依頼を受け、土木事業用の調査・計測などUAV測量、地上測量業務を行います！,●測量士・測量士補などの建設関連資格のいずれかをお持ちの方　●建設業の実務経験のある方　●UAV操作資格をお持ちの方　●普通免許,【転勤なし／U・Iターン歓迎】 ●本社 山形県寒河江市大字西根字長面153番地の1 ●交通アクセス…,"月給180,000円以上 ※経験・資格を考慮の上、当社規定により優遇します。"
224,株式会社タカラレーベン東北 | ≪東北エリア供給戸数ランキング第1位≫タカラレーベングループ,業界大手で新たなキャリアを形成【マンション営業】未経験者歓迎 正社員,正社員,【LEBENブランドの反響型営業(飛び込みなし)】◎お客様の細かなニーズを反映できる確かな商材力が強み！ ※知識・経験ゼロからじっくり育成します,【未経験者・第二新卒歓迎】◎要普免 ◎育成枠採用のため人柄を重視！知識やスキルは入社後に磨いてください《年間休日121日(土日)プライベート充実》,仙台市・山形市・郡山市・北上市・横手市等、東北エリアの各モデルルーム ◆宮城県仙台市青葉区大町 ◆…,月給21万2000円〜33万7000円＋歩合給 +手当 ※試用期間2ヶ月あり(変動なし) ※経験・能力を考慮 ※宅建士…
225,東北インテリジェント通信株式会社 | 【東北電力グループ】★UIターン歓迎！★,東北の通信インフラを支える！【ネットワークエンジニア】 正社員,正社員,お客さまへ提供するための機器の設計・設定・保守、営業の技術サポートを行います！プロジェクトを完遂する達成感や面白さを感じられます！,◎学歴不問　◎LAN構築、運用、保守等の3年以上の経験をお持ちの方　◎無線LANの調査・設計・構築やプロジェクトマネジメント経験者を歓迎します！,【UIターン歓迎！】 ◆本社/宮城県仙台市青葉区一番町3-7-1　電力ビル2階 ※今回の募集は本社…,"月給238,000円以上(諸手当別) 【モデル年収例】 25歳（入社3年目）／400万円　※諸手当含み 27歳（入社5…"
226,大日通信工業株式会社 | 【大日グループ◆創業60年】,★週休2日（土日祝）★資格・経験不問！【電気工事施工管理】 正社員,正社員,《手厚い教育体制をご用意》電気工事の施工管理スタッフとして幅広い業務を担当　★資格取得支援・資格手当あり ★GW・夏季・年末年始の長期休暇も◎,《既卒・第二新卒・未経験の方大歓迎！》★社会人デビューOK ★多数の20代スタッフが活躍中！　■高専・専門学校卒業以上　※文理不問,尼崎本社 兵庫県尼崎市金楽寺町1-2-65 J R「尼崎」駅から徒歩8分 *東京営業所 東京都江東…,"月給242,000円〜327,000円 ※給与には、外勤手当として固定残業代月22時間分を含む ※固定残業代は法定の…"
227,株式会社フェローズ | 《WEB面接可》年間休日120日！早期キャリアアップも可能！,【人材コーディネーター】クリエイター専門の人材コンサルタント 正社員,正社員,【人材コーディネーター】クリエイター専門！メディア・IT業界等の法人とクリエイターの双方に向き合いながらジョブマッチングを実現する仕事です！,＜必須条件＞ ●大卒以上 ●無形商材の営業経験 ●人との会話が好きで、フットワークの軽い方 ●営業として数字への意識が強い方,◆札幌 北海道札幌市中央区北1条西3-3　敷島北一条ビル8F ◆仙台（積極採用中！） 宮城県仙台市…,"◆月給　25万円〜50万円（45時間分の残業代65,029円〜含む） ※超過した時間外労働については別途残業手…"
228,オータス株式会社 | 《インフラ系自社パッケージシステムで業界シェアトップクラス》,客先常駐ほぼなし！【ITエンジニア】☆土日祝休み/年間休日126日 正社員,正社員,【個人の得意分野を伸ばす社風です◎】自社パッケージシステムの開発、プログラミングをご担当いただきます。☆残業少なめ：月20時間～30時間程度,■必須：企業向けのシステム設計・開発経験をお持ちの方、要普免　■歓迎：VB・SQL・.net C#を使用したプログラミング経験者　☆U・Iターン歓迎,【転勤なし／客先での作業は納品時以外はほぼなし】 ■本社 宮城県仙台市青葉区本町2-3-10 仙台…,"月給：200,000円〜235,000円 ＋ 各種手当 ※経験・能力等を考慮のうえ、当社規定により決定いたします。"
229,"株式会社水機テクノス | 東証JASDAQ上場""水道機工株式会社""グループ／完全週休2日制",生活に欠かせない”水”を支える！【監理技術者】※有資格者募集 契約社員,契約社員,【ライフラインを支える優良企業】専任技術者としての内勤専従か、現場にも出る監理技術者(機械器具設置)として活躍していただきます。,50～60代のシニア層活躍中！【安定企業でスキルアップ可能】◎監理技術者（機械器具設置）の資格をお持ちの方を募集,仙台、盛岡、世田谷、静岡、広島、博多いずれかの拠点で勤務いただきます。 ※希望を考慮のうえ決定 ※…,月給：20万円〜50万円 ※経験、年齢、資格などを考慮のうえ決定
